id,start_ts,end_ts,duration_sec,audio_path,transcript,summary,keywords,important
1,2025-10-07T11:25:52.754444,2025-10-07T11:26:42.905812,24.99,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-25-52.wav,"I don't know, let's see if you can and I do see a couple of new files as well that you have created but let's see if you are able to get this in rolling.","I don't know, let's see if you can and I do see a couple of new files as well that you have created but let's see if you are able to get this in rolling.","",0
2,2025-10-07T11:26:52.779949,2025-10-07T11:27:52.685637,15.75,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-26-52.wav,"Oh looks like you might actually. Oh nice see see now we see you are able to","Oh nice see see now we see you are able to. Oh looks like you might actually.","",0
3,2025-10-07T11:27:52.809344,2025-10-07T11:28:52.835504,13.71,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-27-52.wav,"Thanks for watching!","Thanks for watching!.","",0
4,2025-10-07T11:28:52.838418,2025-10-07T11:29:52.865412,24.9,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-28-52.wav,"","","",0
5,2025-10-07T11:29:52.867747,2025-10-07T11:30:48.034945,16.44,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-29-52.wav,"","","",0
6,2025-10-07T11:30:52.897810,2025-10-07T11:31:52.924945,15.72,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-30-52.wav,"","","",0
7,2025-10-07T11:31:52.927883,2025-10-07T11:32:52.954636,18.78,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-31-52.wav,"Hey Mrs. Scott, what you gonna do? What you gonna do? You make me dreams come true. Hey Mrs. Scott, what you gonna do?","Scott, what you gonna do? What you gonna do? You make me dreams come true. Hey Mrs.","",0
8,2025-10-07T11:32:52.956975,2025-10-07T11:33:40.714660,13.62,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-32-52.wav,"do what you're gonna do","do what you're gonna do.","",0
9,2025-10-07T11:33:52.986725,2025-10-07T11:34:07.054273,0.54,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-33-52.wav,you,you.,"",0
10,2025-10-07T11:34:27.066558,2025-10-07T11:35:26.884130,17.94,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-34-27.wav,"","","",0
11,2025-10-07T11:35:27.096723,2025-10-07T11:36:26.763939,15.6,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-35-27.wav,"","","",0
12,2025-10-07T11:36:27.125690,2025-10-07T11:37:26.373634,11.13,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-36-27.wav,"","","",0
13,2025-10-07T11:37:27.156280,2025-10-07T11:38:25.983461,11.97,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-37-27.wav,"","","",0
14,2025-10-07T11:38:27.185341,2025-10-07T11:39:26.943319,11.7,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-38-27.wav,"","","",0
15,2025-10-07T11:39:27.217227,2025-10-07T11:40:10.593221,7.17,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-39-27.wav,"","","",0
16,2025-10-07T11:40:27.245443,2025-10-07T11:41:27.272893,11.97,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-40-27.wav,"","","",0
17,2025-10-07T11:41:27.275744,2025-10-07T11:42:27.302761,15.51,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-41-27.wav,"","","",0
18,2025-10-07T11:42:27.306491,2025-10-07T11:43:27.242241,22.74,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-42-27.wav,"","","",0
19,2025-10-07T11:43:27.336039,2025-10-07T11:44:27.362217,15.66,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-43-27.wav,"","","",0
20,2025-10-07T11:44:27.365178,2025-10-07T11:45:27.241950,17.22,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-44-27.wav,"","","",0
21,2025-10-07T11:45:27.394785,2025-10-07T11:46:09.511844,4.05,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-45-27.wav,"","","",0
22,2025-10-07T11:46:27.424201,2025-10-07T11:47:24.841597,5.58,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-46-27.wav,"","","",0
23,2025-10-07T11:47:27.454805,2025-10-07T11:47:39.091417,1.41,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-47-27.wav,"","","",0
24,2025-10-07T11:47:59.103645,2025-10-07T11:48:08.611384,0.66,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-47-59.wav,"","","",0
25,2025-10-07T11:48:28.623254,2025-10-07T11:49:04.555712,0.6,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-48-28.wav,"","","",0
26,2025-10-07T11:49:24.567560,2025-10-07T11:50:13.854810,0.66,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-49-24.wav,"","","",0
27,2025-10-07T11:50:24.596928,2025-10-07T11:51:14.334593,1.23,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-50-24.wav,"","","",0
28,2025-10-07T11:51:24.626816,2025-10-07T11:52:22.164100,1.41,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-51-24.wav,"","","",0
29,2025-10-07T11:52:24.656340,2025-10-07T11:52:33.744028,1.35,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-52-24.wav,"","","",0
30,2025-10-07T11:52:53.756055,2025-10-07T11:53:44.843513,3.87,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-52-53.wav,"","","",0
31,2025-10-07T11:53:53.785508,2025-10-07T11:54:34.163618,8.7,/Users/aditya/Repos/recorder/audio/seg_2025-10-07T11-53-53.wav,"","","",0
